Report,報告,
Report Builder,報表生成器,
Report Type,報告型別,
Reports,報告,
Response,響應,
Role,角色,
Route,路線,
Sales Manager,銷售經理,
Sales Master Manager,銷售經理大師,
Sales User,銷售使用者,
Salutation,稱呼,
Sample,樣本,
Saturday,星期六,
Saved,已儲存,
Scheduled,已計劃,
Search,搜尋,
Secret Key,金鑰,
Select,選擇,
Select DocType,選擇文件型別,
Send Now,立即傳送,
Sent,已傳送,
Series {0} already used in {1},系列{0}已經被{1}使用,
Service,服務,
Set as Default,設定為預設,
Settings,設定,
Shipping,運輸中,
Short Name,簡稱,
Slideshow,幻燈片,
Source,源,
Source Name,源名稱,
Standard,標準,
Start Date,開始日期,
Start Import,開始匯入,
State,州,
Stopped,已停止,
Subject,主題,
Submit,提交,
Summary,概要,
Sunday,星期天,
System Manager,系統管理員,
Target,目標,
Task,任務,
Tax Category,稅種,
Test,測試,
Thank you,謝謝,
The page you are looking for is missing. This could be because it is moved or there is a typo in the link.,您正在訪問的網頁不存在。可能是網頁被移到別處了或您輸入的網址不正確。,
Timespan,時間跨度,
To,至,
To Date,至今,
Traceback,回溯,
URL,網址,
Unsubscribed,已退訂,
User,使用者,
User ID,使用者ID,
Users,使用者,
Validity,有效性,
Warning,警告,
Website,網站,
Website Manager,網站管理員,
Website Settings,網站設定,
Wednesday,星期三,
Week,周,
Weekdays,工作日,
Weekly,每週,
Welcome email sent,歡迎電子郵件已傳送,
Workflow,工作流程,
You need to be logged in to access this page,您需要登入才能訪問該頁面,
old_parent,舊的_父系,
{0} is mandatory,{0}是必填項,
 to your browser,到你的瀏覽器,
"""Company History""",“公司歷史”,
"""Parent"" signifies the parent table in which this row must be added",“上級”表示本條記錄必須依賴新增的父表,
"""Team Members"" or ""Management""",“團隊成員”或“管理”,
&lt;head&gt; HTML,&lt;HEAD&gt; HTML,
'In Global Search' not allowed for type {0} in row {1},行{1}中的型別{0}不允許“全域性搜尋”,
'In List View' not allowed for type {0} in row {1},行{1}中的型別{0}不允許選擇“顯示在列表檢視中”,
'Recipients' not specified,&#39;收件人&#39;未指定,
(Ctrl + G),（按Ctrl + G）,
** Failed: {0} to {1}: {2},**失敗：{0} {1}：{2},
**Currency** Master,** 貨幣**管理,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - 草案; 1 - 已提交; 2 - 已取消,
0 is highest,0是最高的,
1 Currency = [?] Fraction\nFor e.g. 1 USD = 100 Cent,1貨幣單位= [？]小額單位。例如1美元= 100美分,
1 comment,1條評論,
1 hour ago,1小時前,
1 minute ago,1分鐘前,
1 month ago,一個月前,
1 year ago,一年前,
; not allowed in condition,不滿足條件,
"<h4>Default Template</h4>\n<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>\n<pre><code>{{ address_line1 }}&lt;br&gt;\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\n{{ city }}&lt;br&gt;\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\n{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}\n{{ country }}&lt;br&gt;\n{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}\n{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}\n{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}\n</code></pre>","<h4>預設模板<!-- H4--> \n <p> &lt;a用途神社href=""http://jinja.pocoo.org/docs/templates/""&gt;模板和地址的所有領域（包括自定義欄位如果有的話）將可<!-- P--> \n &lt;前&gt; &lt;程式碼&gt; {{address_line1}}＆LT; BR＆GT; \n {％，如果address_line2％} {{address_line2}}＆LT; BR＆GT; { ENDIF％ - ％} \n {{城市}}＆LT; BR＆GT; \n {％，如果狀態％} {{狀態}}＆LT; BR＆GT; {％ENDIF - ％} {\n％，如果PIN程式碼％} PIN：{{PIN碼}}＆LT; BR＆GT; {％ENDIF - ％} \n {{國家}}＆LT; BR＆GT; \n {％，如果電話％}電話：{{電話}}＆LT; BR＆GT; { ％ENDIF - ％} \n {％，如果傳真％}傳真：{{傳真}}＆LT; BR＆GT; {％ENDIF - ％} \n {％，如果email_id％}電子郵件：{{email_id}}＆LT; BR＆GT {％ENDIF - ％} \n &lt;/程式碼&gt; <!-- PRE--></p></h4>",
A Lead with this Email Address should exist,與此電子郵件地址相關的商機應存在,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,資源的列表，它的客戶端應用程式必須將使用者允許後訪問。 <br>如專案,
A log of request errors,錯誤請求的日誌,
A new account has been created for you at {0},已為您建立新帳戶{0},
A symbol for this currency. For e.g. $,貨幣符號。例如$,
A word by itself is easy to guess.,很容易猜到的一個字,
API Endpoint Args,應用程式介面端點引數,
API Key cannot be  regenerated,應用程式介面金鑰無法重新生成,
API Password,應用程式介面密碼,
API Secret,應用程式介面秘密,
API Username,應用程式介面使用者名稱,
ASC,ASC碼,
About Us Settings,關於我們設定,
About Us Team Member,關於我們 團隊成員,
Accept Payment,接受支付,
Access Key ID,訪問金鑰ID,
Access Token URL,訪問令牌連結地址,
Action Failed,操作失敗,
Action Timeout (Seconds),動作超時（秒）,
"Actions for workflow (e.g. Approve, Cancel).",工作流操作（例如審批，取消） 。,
Active Domains,活動域,
Active Sessions,活動會話,
Activity Log,活動日誌,
Activity log of all users.,所有使用者的活動日誌。,
Add / Manage Email Domains.,新增/管理電子郵件域。,
Add / Update,新增/更新,
Add A New Rule,新建規則,
Add Another Comment,新增另一個評論,
Add Attachment,新增附件,
Add Column,新增列,
Add Contact,增加聯絡人,
Add Contacts,新增聯絡人,
Add Filter,新增過濾器,
Add Group,新增組,
Add New Permission Rule,新建許可權規則,
Add Review,新增評論,
Add Signature,新增簽名,
Add Subscribers,新增訂閱,
Add Total Row,新增總計行,
Add Unsubscribe Link,新增退訂連結,
Add User Permissions,新增使用者許可權,
Add a New Role,新建角色,
Add a column,新增列,
Add a comment,新增評論,
Add a new section,新增新部分,
Add a tag ...,新增標籤...,
Add all roles,新增所有角色,
Add custom forms.,新增自定義表單。,
Add custom javascript to forms.,為表單新增自定義的Java Script。,
Add fields to forms.,為表單新增欄位。,
Add meta tags to your web pages,將元標記新增到您的網頁,
Add script for Child Table,新增子表的指令碼,
Add to table,新增到表格,
Add your own translations,新增您自己的翻譯,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",在&lt;head&gt;新增HTML網頁的部分，主要用於網站的驗證和搜尋引擎最佳化,
Added {0},新增了{0},
Adding System Manager to this User as there must be atleast one System Manager,正在為此使用者新增“系統管理員”角色，因為至少需要一個系統管理員,
Additional Permissions,額外的許可權,
Address Template,地址模板,
Address Title is mandatory.,地址標題是必須項。,
Address and other legal information you may want to put in the footer.,地址和其他法律資訊最好放進頁尾。,
Addresses And Contacts,地址和聯絡方式,
Adds a client custom script to a DocType,將客戶端自定義指令碼新增到DocType,
Adds a custom field to a DocType,為文件型別新增一個自定義欄位,
Admin,管理員,
Administrator Logged In,已登入管理員,
Administrator accessed {0} on {1} via IP Address {2}.,透過{0}在{1}透過IP地址{2}訪問的管理員。,
Advanced,高階,
Advanced Control,高階控制,
Advanced Search,高階搜尋,
Align Labels to the Right,將標籤右對齊,
Align Value,對齊值,
All Images attached to Website Slideshow should be public,所有連線到網站幻燈片的圖片應該是公開的,
All customizations will be removed. Please confirm.,所有自定義更改都將被刪除，請確認,
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""",所有可能的工作流狀態和工作流程的作用。 文件狀態選項：0是“已儲存”/ 1是“已提交”/ 2是“取消”。,
All-uppercase is almost as easy to guess as all-lowercase.,全大寫幾乎一樣容易猜到全部小寫。,
Allocated To,分配給,
Allow,允許,
Allow Bulk Edit,允許批次修改,
Allow Comments,允許評論,
Allow Consecutive Login Attempts ,允許連續登入嘗試,
Allow Dropbox Access,允許訪問Dropbox,
Allow Edit,允許編輯,
Allow Guest to View,允許訪客檢視,
Allow Import (via Data Import Tool),允許匯入（透過資料匯入工具）,
Allow Incomplete Forms,允許不完整的表格,
Allow Login After Fail,允許在失敗後登入,
Allow Login using Mobile Number,允許使用手機號登入,
Allow Login using User Name,允許使用使用者名稱登入,
Allow Modules,允許模組,
Allow Multiple,允許多個,
Allow Print,允許列印,
Allow Print for Cancelled,允許列印為已取消,
Allow Print for Draft,允許列印草稿,
Allow Read On All Link Options,允許讀取所有連結選項,
Allow Rename,允許重新命名,
Allow Roles,允許角色,
Allow Self Approval,允許自我批准,
Allow approval for creator of the document,允許批准文件的建立者,
Allow events in timeline,允許時間軸中的事件,
Allow in Quick Entry,允許快速輸入,
Allow on Submit,允許提交,
Allow only one session per user,允許每個使用者只有一個會話,
Allow page break inside tables,允許在表格分頁符,
Allow saving if mandatory fields are not filled,允許儲存如果必填欄位未填寫,
Allow user to login only after this hour (0-24),僅允許使用者在此時後登入（0-24時）,
Allow user to login only before this hour (0-24),僅允許使用者在此時前登入（0-24時）,
Allowed,已允許,
Allowed In Mentions,允許被“提到”,
"Allowing DocType, DocType. Be careful!",允許的DOCTYPE，的DocType 。要小心！,
Already Registered,已註冊,
Also adding the dependent currency field {0},還要新增從屬貨幣欄位{0},
"Always add ""Draft"" Heading for printing draft documents",隨時新增“草案”標題列印檔案草案,
Always use Account's Email Address as Sender,始終使用帳戶的電子郵件地址作為發件人,
Always use Account's Name as Sender's Name,始終使用帳戶名稱作為發件人姓名,
Amend,修訂,
Amending,修訂,
Amount Based On Field,用量以現場,
Amount Field,金額欄位,
Amount must be greater than 0.,量必須大於0。,
An error occured during the payment process. Please contact us.,付款過程中發生錯誤。請聯絡我們。,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],一個圖示副檔名為.ico。應為16×16畫素。使用圖示生成器生成。 [favicon-generator.org],
Ancestors Of,祖先,
Another transaction is blocking this one. Please try again in a few seconds.,另一個交易禁用這個。請幾分鐘後再試。,
"Another {0} with name {1} exists, select another name",具有相同名稱{1}的{0}已存在，請更名。,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,可以使用任何基於字串的印表機語言。編寫原始命令需要了解印表機製造商提供的印表機本機語言。請參閱印表機製造商提供的開發人員手冊，瞭解如何編寫本機命令。這些命令使用Jinja模板語言在伺服器端呈現。,
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.",除了系統管理員，有“設定使用者許可權”的角色可以為其他使用者設定某文件型別的許可權。,
Api Access,應用程式介面訪問,
App,應用,
App Access Key,應用程式訪問金鑰,
App Client ID,應用程式客戶端ID,
App Client Secret,應用程式客戶端金鑰,
App Name,應用程式名稱,
App Secret Key,應用保密金鑰,
App not found,應用程式未找到,
App {0} already installed,已安裝App {0},
App {0} is not installed,未安裝應用程式{0},
Append To,追加到,
Append To can be one of {0},追加到可以是{0}之一,
Append To is mandatory for incoming mails,傳入郵件加到追加到是強制性的,
"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")",作為此文件型別的交流資訊新增(必須有“狀態”和“主題”欄位),
Applicable Document Types,適用的檔案型別,
Apply,應用,
Apply Strict User Permissions,申請嚴格的使用者許可權,
Apply To All Document Types,適用於所有文件型別,
Apply this rule if the User is the Owner,應用此規則如果使用者是所有者,
Apply to all Documents Types,適用於所有文件型別,
Appreciate,欣賞,
Appreciation,升值,
Archive,檔案,
Archived,已存檔,
Archived Columns,歸檔列,
Are you sure you want to delete the attachment?,您確定要刪除的附件？,
Are you sure you want to relink this communication to {0}?,您確定要重新連結該通訊{0}？,
Are you sure?,你確定嗎？,
Arial,Arial字型,
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.",一種最佳的做法是，不要給不同的角色分配同樣的許可權規則，而是向同一使用者分配多個角色。,
Assign Condition,分配條件,
Assign To Users,分配給使用者,
"Assign one by one, in sequence",按順序逐個分配,
Assign to me,分配給我,
Assign to the one who has the least assignments,分配給分配最少的人,
Assigned,已分配,
Assigned By,透過分配,
Assigned By Full Name,分配者全名,
Assigned By Me,由我指定,
Assigned To,已分配給,
Assigned To/Owner,已分配給/所有者,
Assignment,分配,
Assignment Complete,指派完成,
Assignment Completed,指派完成,
Assignment Rule,作業規則,
Assignment Rule User,分配規則使用者,
Assignment Rules,作業規則,
Assignment closed by {0},指配由{0}關閉,
Assignment for {0} {1},{0} {1}的分配,
Atleast one field of Parent Document Type is mandatory,父檔案型別的至少一個欄位是強制性的,
Attach,附件,
Attach Document Print,附加文件列印,
Attach Image,附加圖片,
Attach Print,附加列印,
Attach Your Picture,附上你的照片,
Attach file for Import,附加檔案進行匯入,
Attach files / urls and add in table.,附加檔案/網址並新增到表格中。,
Attached To DocType,已附加到文件型別,
Attached To Field,已附加到欄位,
Attached To Name,已附加到名稱,
Attachment Limit (MB),附件限制(MB),
Attachment Removed,附件已刪除,
Attempting Connection to QZ Tray...,嘗試連線QZ托盤......,
Attempting to launch QZ Tray...,試圖推出QZ Tray ......,
Auth URL Data,身份驗證URL資料,
Authenticating...,驗證...,
Authentication,認證,
Authentication Apps you can use are: ,您可以使用的驗證應用程式是：,
Authentication Credentials,認證憑據,
Authorization Code,授權碼,
Authorize URL,授權URL,
Authorized,合法,
Auto,自動,
Auto Email Report,自動郵件報告,
Auto Name,自動名稱,
Auto Reply Message,自動回覆留言,
Auto assignment failed: {0},自動分配失敗：{0},
Automatically Assign Documents to Users,自動為使用者分配文件,
Automation,自動化,
Avatar,頭像,
Average,平均,
Average of {0},平均值{0},
Avoid dates and years that are associated with you.,避免日期和與你相關的年。,
Avoid recent years.,避免最近幾年。,
Avoid sequences like abc or 6543 as they are easy to guess,避免像ABC或6543的序列，因為它們容易被猜中,
Avoid years that are associated with you.,避免了與你相關的年。,
Awaiting Password,等待密碼,
Away,遠,
BCC,BCC,
Back to Desk,返回主頁,
Back to Login,返回登陸,
Background Color,背景顏色,
Background Email Queue,後臺電子郵件佇列,
Background Jobs,後臺作業,
Background Workers,後臺程序,
Backup,備份,
Backup Frequency,備份頻率,
Backup Limit,備份限制,
Backup job is already queued. You will receive an email with the download link,備份作業已經排隊。您將收到一封包含下載連結的電子郵件,
Backups,備份,
Banner,橫幅,
Banner HTML,橫幅HTML,
Banner Image,橫幅圖片,
Banner is above the Top Menu Bar.,橫幅在頂部選單上方。,
Bar,酒吧,
Base Distinguished Name (DN),基本專有名稱（DN）,
Based on Permissions For User,基於授予使用者的許可,
Beta,Beta版,
Better add a few more letters or another word,最好加幾個字母或一個字,
Between,之間,
Bio,個人簡歷,
Birth Date,出生日期,
Block Module,封鎖模組,
Block Modules,封鎖模組,
Blocked,已限制,
Blog,部落格,
Blog Category,部落格分類,
Blog Intro,部落格介紹,
Blog Introduction,部落格介紹,
Blog Post,部落格文章,
Blog Settings,部落格設定,
Blog Title,部落格標題,
Blogger,部落格作者,
Bot,聊天機器人,
Both DocType and Name required,文件型別和名稱是必須項,
Both login and password required,登入名和密碼是必須項,
Bounced,退回,
Braintree Settings,Braintree設定,
Braintree payment gateway settings,Braintree支付閘道器設定,
Brand HTML,品牌HTML,
Brand Image,品牌形象,
Breadcrumbs,麵包屑導航,
Browser not supported,瀏覽器不支援,
Brute Force Security,蠻力安全,
Build Report,生成報告,
Bulk Delete,批次刪除,
Bulk Edit {0},批次編輯{0},
Bulk Rename,批次重新命名,
Bulk Update,批次更新,
Button,按鈕,
Button Help,按鈕幫助,
Button Label,按鈕標籤,
Bypass Two Factor Auth for users who login from restricted IP Address,為從受限IP地址登入的使用者繞過雙因素身份驗證,
Bypass restricted IP Address check If Two Factor Auth Enabled,繞過受限制的IP地址檢查如果雙因素驗證啟用,
CC,抄送,
"CC, BCC & Email Template",抄送，密件抄送＆電子郵件模板,
CSS,CSS,
CSV,CSV,
Cache Cleared,快取已清除,
Calculate,計算,
Calendar Name,日曆名稱,
Calendar View,日曆檢視,
Call,通話,
Can Read,可閱讀,
Can Share,可以共享,
Can Write,可以寫,
Can't identify open {0}. Try something else.,無法識別開{0}。嘗試別的東西。,
Can't save the form as data import is in progress.,資料匯入過程中無法儲存表單。,
Cancel {0} documents?,取消{0}檔案？,
Cancelled Document restored as Draft,已取消的文件已恢復為草稿,
Cancelling,取消,
Cancelling {0},取消{0},
Cannot Remove,無法刪除,
Cannot cancel before submitting. See Transition {0},不能在提交前取消，詳情參考過渡{0},
Cannot change docstatus from 0 to 2,不能將文件狀態由0改為2,
Cannot change docstatus from 1 to 0,不能將文件狀態由1改為0,
Cannot change header content,無法更改標題內容,
Cannot change state of Cancelled Document. Transition row {0},不能改變已取消文件的狀態。過渡行{0},
Cannot change user details in demo. Please signup for a new account at https://erpnext.com,演示中無法更改使用者詳細資訊。請在https://erpnext.com註冊一個新帳戶,
Cannot create a {0} against a child document: {1},無法針對子檔案建立{0}：{1},
Cannot delete Home and Attachments folders,無法刪除主和附件資料夾,
Cannot delete file as it belongs to {0} {1} for which you do not have permissions,無法刪除屬於您沒有許可權的{0} {1}的檔案,
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},由於{0} {1}與{2} {3} {4}連結，無法刪除或取消,
Cannot delete standard field. You can hide it if you want,無法刪除標準的欄位。你可以將其隱藏，如果你想,
Cannot delete {0},無法刪除{0},
Cannot delete {0} as it has child nodes,無法刪除{0} ，因為它有子節點,
"Cannot edit Standard Notification. To edit, please disable this and duplicate it",無法編輯標準通知。要進行編輯，請禁用並複製它,
Cannot edit a standard report. Please duplicate and create a new report,不能編輯標準的報告。請複製並建立一個新的報告,
Cannot edit cancelled document,無法編輯已取消文件,
Cannot edit standard fields,不能編輯標準欄位,
Cannot have multiple printers mapped to a single print format.,不能將多個印表機對映到單個列印格式。,
Cannot link cancelled document: {0},不能連結到已取消檔案{0},
Cannot map because following condition fails: ,無法對應，因為以下條件失敗：,
Cannot move row,不能移動排,
Cannot open instance when its {0} is open,無法開啟例項時，它的{0}是開啟的,
Cannot open {0} when its instance is open,無法開啟{0} ，當它的例項已開啟,
Cannot remove ID field,無法刪除ID欄位,
Cannot set Notification on Document Type {0},無法在文件型別{0}上設定通知,
Cannot update {0},無法更新{0},
Cannot use sub-query in order by,不能按。。。次序使用子查詢,
Cannot {0} {1},無法{0} {1},
Capitalization doesn't help very much.,資本沒有太大幫助。,
Card Details,卡詳情,
Categorize blog posts.,分類部落格文章。,
Category Description,類別說明,
Cent,一分錢,
"Certain documents, like an Invoice, should not be changed once final. The final state for such documents is called Submitted. You can restrict which roles can Submit.",某些文件，例如費用清單，一旦進入最終狀態(即“已提交”)就不能再更改。你可以限制可以提交的角色。,
Chain Integrity,鏈完整性,
Chaining Hash,連結雜湊,
Change Label (via Custom Translation),更改標籤（透過自定義轉換）,
Change Password,更改密碼,
"Change field properties (hide, readonly, permission etc.)",更改欄位屬性（隱藏，只讀，許可權等）,
Channel,渠道,
Chart Name,圖表名稱,
Chart Options,圖表選項,
Chart Source,圖表來源,
Chart Type,圖表型別,
Charts,圖表,
Chat,聊天,
Chat Background,聊天背景,
Chat Message,聊天訊息,
Chat Operators,聊天運營商,
Chat Profile,聊天檔案,
Chat Profile for User {0} exists.,使用者{0}的聊天配置檔案存在。,
Chat Room,聊天室,
Chat Room Name,聊天室名稱,
Chat Room User,聊天室使用者,
Chat Token,聊天令牌,
Chat Type,聊天型別,
Chat messages and other notifications.,聊天資訊和其他通知。,
Check,校驗,
Check Request URL,檢查請求URL,
"Check columns to select, drag to set order.",勾選列來選擇，拖動列來排序。,
Check this if you are testing your payment using the Sandbox API,檢查這個，如果你正在測試使用沙盒API付款,
Check this to pull emails from your mailbox,要從你的郵箱下載郵件請勾選此項,
Check which Documents are readable by a User,檢視哪些檔案使用者可讀到,
Checking one moment,檢查一個時刻,
Checksum Version,校驗版本,
Child Table Mapping,子表對映,
Child Tables are shown as a Grid in other DocTypes,子表在其他DocType中顯示為網格,
Choose authentication method to be used by all users,選擇所有使用者使用的身份驗證方法,
Clear Error Logs,清除錯誤日誌,
Clear User Permissions,清除使用者許可權,
Clear all roles,清除所有角色,
"Clearing end date, as it cannot be in the past for published pages.",清除結束日期，因為釋出的頁面不能在過去。,
Click here to post bugs and suggestions,點選這裡釋出錯誤和建議,
Click here to verify,點選這裡核實,
Click on the link below to complete your registration and set a new password,點選下面的連結完成註冊，並設定新密碼,
Click on the link below to download your data,點選下面的連結下載您的資料,
Click on the link below to verify your request,點選下面的連結驗證您的請求,
Click table to edit,點選表格編輯,
Click to Set Filters,單擊以設定過濾器,
Clicked,已點選,
Client Credentials,客戶端憑證,
Client Information,客戶資訊,
Client Script,客戶端指令碼,
Client URLs,客戶端網址,
Client side script extensions in Javascript,在JavaScript客戶端指令碼擴充套件,
Collapsible,可摺疊,
Collapsible Depends On,可摺疊取決於,
Column,列,
Column <b>{0}</b> already exist.,列<b>{0}</b>已經存在。,
Column Break,分欄符,
Column Labels:,列標籤：,
Column Name,列名,
Column Name cannot be empty,列名不能為空,
Columns,列,
Columns based on,基於列,
Combination of Grant Type (<code>{0}</code>) and Response Type (<code>{1}</code>) not allowed,授予型別（ <code>{0}</code> ）和響應型別（ <code>{1}</code> ）的組合不允許,
Comment By,評論人,
Comment Email,評論電郵,
Comment Type,評論型別,
Comment can only be edited by the owner,評論只能由所有者進行編輯,
Commented on {0}: {1},評論時間{0}：{1},
Comments and Communications will be associated with this linked document,評論與通訊將與此連結的文件關聯,
Comments cannot have links or email addresses,評論不能包含連結或電子郵件地址,
Common names and surnames are easy to guess.,常見名字和姓氏很容易被猜到。,
Communicated via {0} on {1}: {2},透過傳達{0}在{1} {2},
Communication Type,通訊型別,
Company History,公司歷史,
Company Introduction,公司簡介,
Compiled Successfully,編譯成功,
Complete By,由...完成,
Complete Registration,完成註冊,
Complete Setup,完成安裝,
Compose Email,寫郵件,
Condition Detail,狀況細節,
Conditions,條件,
Configure Chart,配置圖表,
Configure Charts,配置圖表,
Confirm,確認,
Confirm Deletion of Data,確認刪除資料,
Confirm Request,確認申請,
Confirm Your Email,確認您的電子郵件,
Confirmed,確認,
Connected to QZ Tray!,連線到QZ托盤！,
Connection Name,連線名稱,
Connection Success,連線成功,
Connection lost. Some features might not work.,連線丟失。某些功能可能無法使用。,
Connector Name,聯結器名稱,
Connector Type,聯結器型別,
Contact Us Settings,聯絡我們設定,
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.",聯絡人選項，如“銷售查詢，支援查詢”等每個新行或以逗號分隔。,
Contacts,往來,
Content (HTML),內容（HTML）,
Content (Markdown),內容（降價）,
Content Hash,內容雜湊值,
Content web page.,內容的網頁。,
Conversation Tones,對話語調,
Copyright,版權,
Core,核心,
Core DocTypes cannot be customized.,核心DocType無法自定義。,
Could not connect to outgoing email server,無法連線到外發郵件伺服器,
Could not find {0},找不到{0},
Could not find {0} in {1},找不到{0} {1},
Could not identify {0},無法識別{0},
Count,計數,
Country Name,國家名稱,
County,縣,
Create Chart,建立圖表,
Create New,建立新的,
Create Post,建立帖子,
Create User Email,建立使用者電子郵件,
Create a New Format,建立新格式,
Create a new record,建立一個新記錄,
Create a new {0},建立一個新的{0},
Create and Send Newsletters,建立和傳送新聞郵件,
Create and manage newsletter,建立並管理實時通訊,
Created,建立,
Created Custom Field {0} in {1},在{1}建立了自定義欄位{0},
Created On,建立於,
